first_name,last_name,nfl_team,position,auction_value,bye_week
Peyton,Manning,DEN,QB,20,9
Robert,Griffin III,WAS,QB,13,5
Tony,Romo,DAL,QB,11,11
Russell,Wilson,SEA,QB,10,12
Colin,Kaepernick,SF,QB,7,13
Jay,Cutler,CHI,QB,2,8
Sam,Bradford,STL,QB,2,11
Ben,Roethlisberger,PIT,QB,2,5
Josh,Freeman,TB,QB,1,5
Matt,Schaub,HOU,QB,1,8
Carson,Palmer,ARI,QB,1,9
Ryan,Tannehill,MIA,QB,1,6
Joe,Flacco,BAL,QB,1,8
Mike,Vick,PHI,QB,1,12
Jake,Locker,TEN,QB,0,8
Alex,Smith,KC,QB,0,10
EJ,Manuel,BUF,QB,0,12
Geno,Smith,NYJ,QB,0,10
Brandon,Weeden,CLE,QB,0,10
Christian,Ponder,MIN,QB,0,10
Matt,Flynn,OAK,QB,0,10
Blaine,Gabbert,JAC,QB,0,10
Steven,Jackson,ATL,RB,20,6
Lamar,Miller,MIA,RB,15,6
Frank,Gore,SF,RB,13,9
Le'Veon,Bell,PIT,RB,11,5
Montee,Ball,DEN,RB,10,9
Chris,Ivory,NYJ,RB,8,10
Shane,Vereen,NE,RB,6,10
Ahmad,Bradshaw,IND,RB,6,8
Andre,Brown,NYG,RB,4,9
Giovani,Bernard,CIN,RB,4,12
Eddie,Lacy,GB,RB,4,4
Pierre,Thomas,NO,RB,3,7
BenJarvus,Green-Ellis,CIN,RB,3,12
Ronnie,Hillman,DEN,RB,3,9
Daryl,Richardson,STL,RB,3,11
Mark,Ingram,NO,RB,16,7
Ben,Tate,HOU,RB,3,8
Jonathan,Stewart,CAR,RB,3,4
Bernard,Pierce,BAL,RB,3,8
Bryce,Brown,PHI,RB,2,12
DeAngelo,Williams,CAR,RB,2,4
Zac,Stacy,STL,RB,2,11
Shonn,Greene,TEN,RB,2,8
Isaiah,Pead,STL,RB,2,11
Danny,Woodhead,SD,RB,2,8
Vick,Ballard,IND,RB,2,8
Joseph,Randle,DAL,RB,2,11
Johnathan,Franklin,GB,RB,1,4
Kendall,Hunter,SF,RB,1,9
Jacquizz,Rodgers,ATL,RB,1,6
Ryan,Williams,ARI,RB,1,9
Michael,Bush,CHI,RB,1,8
Robert,Turbin,SEA,RB,1,12
Mike,Goodson,NYJ,RB,1,10
Jonathan,Dwyer,PIT,RB,1,5
Rashad,Jennings,OAK,RB,1,7
LaMichael,James,SF,RB,1,9
Mike,Gillislee,MIA,RB,0,6
Knile,Davis,KC,RB,0,10
Marcel,Reece,OAK,RB,0,7
Mike,Tolbert,CAR,RB,0,4
DuJuan,Harris,GB,RB,0,4
Bilal,Powell,NYJ,RB,0,10
Roy,Helu,WAS,RB,0,5
Montario,Hardesty,CLE,RB,0,10
Toby,Gerhart,MIN,RB,0,5
Christine,Michael,SEA,RB,0,12
Denard,Robinson,JAC,RB,0,9
Knowshon,Moreno,DEN,RB,0,9
Delone,Carter,IND,RB,0,8
Joique,Bell,DET,RB,0,9
Justin,Forsett,JAC,RB,0,9
Mike,James,TB,RB,0,5
Latavius,Murray,OAK,RB,0,7
Evan,Royster,WAS,RB,0,5
LaRod,Stephens-Howling,PIT,RB,0,5
Demaryius,Thomas,DEN,WR,16,9
Jordy,Nelson,GB,WR,11,4
Eric,Decker,DEN,WR,10,9
Reggie,Wayne,IND,WR,9,8
Steve,Smith,CAR,WR,8,4
Cecil,Shorts,JAC,WR,7,9
Tavon,Austin,STL,WR,6,11
T.Y.,Hilton,IND,WR,6,8
Jeremy,Maclin,PHI,WR,5,12
Steve,Johnson,BUF,WR,5,12
Danario,Alexander,SD,WR,5,8
Greg,Jennings,MIN,WR,4,5
DeSean,Jackson,PHI,WR,4,12
Mike,Williams,TB,WR,3,5
Josh,Gordon,CLE,WR,3,10
Anquan,Boldin,SF,WR,3,9
Miles,Austin,DAL,WR,2,11
Denarius,Moore,OAK,WR,2,7
Michael,Floyd,ARI,WR,2,9
Ryan,Broyles,DET,WR,2,9
DeAndre,Hopkins,HOU,WR,2,8
Alshon,Jeffery,CHI,WR,2,8
Emmanuel,Sanders,PIT,WR,2,5
Rueben,Randle,NYG,WR,2,9
Kendall,Wright,TEN,WR,2,8
Chris,Givens,STL,WR,1,11
Brandon,LaFell,CAR,WR,1,4
Sidney,Rice,SEA,WR,1,12
Aaron,Dobson,NE,WR,1,10
Santonio,Holmes,NYJ,WR,1,10
Brian,Hartline,MIA,WR,1,6
Mohamed,Sanu,CIN,WR,1,12
Vincent,Brown,SD,WR,1,8
Rod,Streater,OAK,WR,1,7
Darrius,Heyward-Bey,IND,WR,0,8
Malcom,Floyd,SD,WR,0,8
A.J.,Jenkins,SF,WR,0,9
Joe,Morgan,NO,WR,0,7
Brian,Quick,STL,WR,0,11
Andre,Roberts,ARI,WR,0,9
Santana,Moss,WAS,WR,0,5
Cordarrelle,Patterson,MIN,WR,0,5
Dexter,McCluster,KC,WR,0,10
Justin,Hunter,TEN,WR,0,8
Golden,Tate,SEA,WR,0,12
Robert,Woods,BUF,WR,0,12
Markus,Wheaton,PIT,WR,0,5
Nate,Washington,TEN,WR,0,8
Leonard,Hankerson,WAS,WR,0,5
Jeremy,Kerley,NYJ,WR,0,10
Terrance,Williams,DAL,WR,0,11
Keenan,Allen,SD,WR,0,8
Stephen,Hill,NYJ,WR,0,10
Tony,Gonzalez,ATL,TE,9,6
Vernon,Davis,SF,TE,7,9
Dennis,Pitta,BAL,TE,6,8
Jared,Cook,STL,TE,5,11
Greg,Olsen,CAR,TE,4,4
Antonio,Gates,SD,TE,4,8
Martellus,Bennett,CHI,TE,3,8
Owen,Daniels,HOU,TE,2,8
Jermaine,Gresham,CIN,TE,1,12
Dwayne,Allen,IND,TE,1,8
Dustin,Keller,MIA,TE,1,6
Marcedes,Lewis,JAC,TE,1,9
Fred,Davis,WAS,TE,0,5
Jordan,Cameron,CLE,TE,0,10
Rob,Housler,ARI,TE,0,9
Heath,Miller,PIT,TE,0,5
James,Casey,PHI,TE,0,12
Coby,Fleener,IND,TE,0,8
Tyler,Eifert,CIN,TE,0,12
Zach,Miller,SEA,TE,0,12
Jacob,Tamme,DEN,TE,0,9
Delanie,Walker,TEN,TE,0,8
Travis,Kelce,KC,TE,0,10
Brent,Celek,PHI,TE,0,12
David,Ausberry,OAK,TE,0,7
Stephen,Gostkowski,NE,K,2,10
Matt,Bryant,ATL,K,2,6
Matt,Prater,DEN,K,2,9
Blair,Walsh,MIN,K,2,5
Phil,Dawson,SF,K,1,9
Justin,Tucker,BAL,K,1,8
David,Akers,DET,K,1,9
Sebastian,Janikowski,OAK,K,1,7
