auction_value,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20
1,3,5,7,9,12,14,16,18,20,22,24,26,28,30,33,35,37,39,41
2,4,6,9,11,13,15,17,20,22,24,26,28,31,33,35,37,39,42,44
3,5,8,10,12,15,17,19,21,24,26,28,31,33,35,38,40,42,44,47
4,6,9,11,14,16,18,21,23,26,28,30,33,35,38,40,42,45,47,50
5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53
6,9,11,14,16,19,22,24,27,29,32,35,37,40,42,45,48,50,53,55
7,10,12,15,18,21,23,26,29,31,34,37,39,42,45,48,50,53,56,58
8,11,14,16,19,22,25,28,30,33,36,39,42,44,47,50,53,56,58,61
9,12,15,18,21,24,26,29,32,35,38,41,44,47,50,53,55,58,61,64
10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67
11,14,17,20,23,27,30,33,36,39,42,45,48,51,54,58,61,64,67,70
12,15,18,22,25,28,31,34,38,41,44,47,50,54,57,60,63,66,70,73
13,16,20,23,26,30,33,36,39,43,46,49,53,56,59,63,66,69,72,76
14,17,21,24,28,31,34,38,41,45,48,51,55,58,62,65,68,72,75,79
15,19,22,26,29,33,36,40,43,47,50,54,57,61,64,68,71,75,78,82
16,20,23,27,30,34,38,41,45,48,52,56,59,63,66,70,74,77,81,84
17,21,24,28,32,36,39,43,47,50,54,58,61,65,69,73,76,80,84,87
18,22,26,29,33,37,41,45,48,52,56,60,64,67,71,75,79,83,86,90
19,23,27,31,35,39,42,46,50,54,58,62,66,70,74,78,81,85,89,93
20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96
21,25,29,33,37,42,46,50,54,58,62,66,70,74,78,83,87,91,95,99
22,26,30,35,39,43,47,51,56,60,64,68,72,77,81,85,89,93,98,102
23,27,32,36,40,45,49,53,57,62,66,70,75,79,83,88,92,96,100,105
24,28,33,37,42,46,50,55,59,64,68,72,77,81,86,90,94,99,103,108
25,30,34,39,43,48,52,57,61,66,70,75,79,84,88,93,97,102,106,111
26,31,35,40,44,49,54,58,63,67,72,77,81,86,90,95,100,104,109,113
27,32,36,41,46,51,55,60,65,69,74,79,83,88,93,98,102,107,112,116
28,33,38,42,47,52,57,62,66,71,76,81,86,90,95,100,105,110,114,119
29,34,39,44,49,54,58,63,68,73,78,83,88,93,98,103,107,112,117,122
30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125
31,36,41,46,51,57,62,67,72,77,82,87,92,97,102,108,113,118,123,128
32,37,42,48,53,58,63,68,74,79,84,89,94,100,105,110,115,120,126,131
33,38,44,49,54,60,65,70,75,81,86,91,97,102,107,113,118,123,128,134
34,39,45,50,56,61,66,72,77,83,88,93,99,104,110,115,120,126,131,137
35,41,46,52,57,63,68,74,79,85,90,96,101,107,112,118,123,129,134,140
36,42,47,53,58,64,70,75,81,86,92,98,103,109,114,120,126,131,137,142
37,43,48,54,60,66,71,77,83,88,94,100,105,111,117,123,128,134,140,145
38,44,50,55,61,67,73,79,84,90,96,102,108,113,119,125,131,137,142,148
39,45,51,57,63,69,74,80,86,92,98,104,110,116,122,128,133,139,145,151
40,46,52,58,64,70,76,82,88,94,100,106,112,118,124,130,136,142,148,154
41,47,53,59,65,72,78,84,90,96,102,108,114,120,126,133,139,145,151,157
42,48,54,61,67,73,79,85,92,98,104,110,116,123,129,135,141,147,154,160
43,49,56,62,68,75,81,87,93,100,106,112,119,125,131,138,144,150,156,163
44,50,57,63,70,76,82,89,95,102,108,114,121,127,134,140,146,153,159,166
45,52,58,65,71,78,84,91,97,104,110,117,123,130,136,143,149,156,162,169
46,53,59,66,72,79,86,92,99,105,112,119,125,132,138,145,152,158,165,171
47,54,60,67,74,81,87,94,101,107,114,121,127,134,141,148,154,161,168,174
48,55,62,68,75,82,89,96,102,109,116,123,130,136,143,150,157,164,170,177
49,56,63,70,77,84,90,97,104,111,118,125,132,139,146,153,159,166,173,180
50,57,64,71,78,85,92,99,106,113,120,127,134,141,148,155,162,169,176,183
51,58,65,72,79,87,94,101,108,115,122,129,136,143,150,158,165,172,179,186
52,59,66,74,81,88,95,102,110,117,124,131,138,146,153,160,167,174,182,189
53,60,68,75,82,90,97,104,111,119,126,133,141,148,155,163,170,177,184,192
54,61,69,76,84,91,98,106,113,121,128,135,143,150,158,165,172,180,187,195
